OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Total
DETAIL1,ORDER1,PROD19,5,374.87,1874.35
DETAIL2,ORDER1,PROD217,1,1375.9,1375.9
DETAIL3,ORDER2,PROD121,8,616.75,4934.0
DETAIL4,ORDER3,PROD217,1,1375.9,1375.9
DETAIL5,ORDER3,PROD211,2,787.68,1575.36
DETAIL6,ORDER4,PROD168,1,971.85,971.85
DETAIL7,ORDER4,PROD58,1,1754.73,1754.73
DETAIL8,ORDER5,PROD233,1,1176.96,1176.96
DETAIL9,ORDER5,PROD152,3,1182.6,3547.8
DETAIL10,ORDER5,PROD124,2,559.7,1119.4
DETAIL11,ORDER6,PROD125,3,299.99,899.97
DETAIL12,ORDER6,PROD69,3,520.57,1561.71
DETAIL13,ORDER7,PROD174,5,179.77,898.85
DETAIL14,ORDER7,PROD64,1,199.63,199.63
DETAIL15,ORDER7,PROD102,1,1695.46,1695.46
DETAIL16,ORDER8,PROD45,9,75.51,679.59
DETAIL17,ORDER9,PROD172,7,1036.51,7255.57
DETAIL18,ORDER10,PROD41,2,1607.22,3214.44
DETAIL19,ORDER10,PROD259,1,1645.61,1645.61
DETAIL20,ORDER11,PROD73,4,393.18,1572.72
DETAIL21,ORDER12,PROD134,3,725.75,2177.25
DETAIL22,ORDER13,PROD97,1,1170.06,1170.06
DETAIL23,ORDER14,PROD149,6,158.35,950.1
DETAIL24,ORDER14,PROD225,3,725.64,2176.92
DETAIL25,ORDER15,PROD38,1,1301.89,1301.89
DETAIL26,ORDER15,PROD201,2,1285.95,2571.9
DETAIL27,ORDER16,PROD170,1,1597.14,1597.14
DETAIL28,ORDER16,PROD195,1,116.78,116.78
DETAIL29,ORDER17,PROD175,3,658.6,1975.8
DETAIL30,ORDER17,PROD148,2,1332.56,2665.12
DETAIL31,ORDER18,PROD62,4,852.24,3408.96
DETAIL32,ORDER19,PROD174,2,179.77,359.54
DETAIL33,ORDER19,PROD84,1,1465.04,1465.04
DETAIL34,ORDER19,PROD247,1,399.83,399.83
DETAIL35,ORDER20,PROD23,4,217.75,871.0
DETAIL36,ORDER21,PROD207,7,331.82,2322.74
DETAIL37,ORDER22,PROD106,2,1287.68,2575.36
DETAIL38,ORDER22,PROD99,1,86.75,86.75
DETAIL39,ORDER22,PROD183,3,773.87,2321.61
DETAIL40,ORDER23,PROD81,2,1222.72,2445.44
DETAIL41,ORDER24,PROD110,9,789.76,7107.84
