OrderID,CustomerID,ProductID,StoreID,OrderDate,DeliveryDate,ActualDeliveryDate,Quantity,TotalAmount
ORDER1,CUST6696,PROD35,STORE6,2022-01-05,2022-01-08,2022-01-07,6,2876.16
ORDER2,CUST4311,PROD64,STORE4,2022-09-28,2022-09-30,2022-10-01,8,1597.04
ORDER3,CUST2356,PROD177,STORE10,2023-11-20,2023-11-28,2023-11-29,3,1383.27
ORDER4,CUST4064,PROD178,STORE3,2024-01-12,2024-01-14,2024-01-13,2,2351.56
ORDER5,CUST7131,PROD204,STORE5,2024-07-21,2024-07-31,2024-07-30,7,9515.59
ORDER6,CUST6845,PROD21,STORE9,2022-10-05,2022-10-12,2022-10-13,8,9386.08
ORDER7,CUST991,PROD17,STORE4,2022-07-05,2022-07-07,2022-07-06,7,7244.72
ORDER8,CUST1988,PROD90,STORE1,2023-02-15,2023-02-17,2023-02-18,9,1372.5
ORDER9,CUST604,PROD83,STORE7,2024-03-22,2024-03-30,2024-03-30,8,5602.88
ORDER10,CUST4884,PROD187,STORE9,2022-11-10,2022-11-13,2022-11-12,3,5570.43
ORDER11,CUST1787,PROD16,STORE3,2022-06-29,2022-07-09,2022-07-09,4,3529.04
ORDER12,CUST5351,PROD109,STORE9,2022-01-09,2022-01-15,2022-01-16,3,299.19
ORDER13,CUST2744,PROD85,STORE5,2024-09-19,2024-09-28,2024-09-27,5,7404.55
ORDER14,CUST148,PROD244,STORE5,2022-07-30,2022-08-05,2022-08-05,9,9412.11
ORDER15,CUST940,PROD19,STORE4,2022-02-19,2022-02-25,2022-02-24,7,2624.09
ORDER16,CUST2360,PROD22,STORE8,2023-05-21,2023-05-24,2023-05-23,2,1964.38
ORDER17,CUST6270,PROD99,STORE10,2023-05-30,2023-06-05,2023-06-05,5,433.75
ORDER18,CUST5453,PROD250,STORE1,2023-07-11,2023-07-17,2023-07-17,4,7150.44
ORDER19,CUST4939,PROD110,STORE9,2024-12-18,2024-12-27,2024-12-28,4,3159.04
ORDER20,CUST6705,PROD8,STORE1,2022-12-21,2022-12-26,2022-12-25,4,3871.52
ORDER21,CUST2805,PROD176,STORE10,2023-10-29,2023-11-04,2023-11-05,7,11741.17
ORDER22,CUST4154,PROD107,STORE3,2024-11-09,2024-11-19,2024-11-20,6,5211.72
ORDER23,CUST2222,PROD131,STORE2,2024-09-20,2024-09-26,2024-09-25,5,5552.65
ORDER24,CUST5857,PROD167,STORE5,2024-11-19,2024-11-23,2024-11-24,9,7823.79
ORDER25,CUST1409,PROD74,STORE2,2023-11-21,2023-11-29,2023-11-30,6,7890.42
ORDER26,CUST4154,PROD205,STORE7,2023-07-20,2023-07-23,2023-07-24,3,3945.33
ORDER27,CUST1092,PROD88,STORE4,2023-05-30,2023-06-01,2023-06-01,1,1557.45
ORDER28,CUST5309,PROD234,STORE7,2024-06-13,2024-06-19,2024-06-18,3,3890.16
ORDER29,CUST3803,PROD30,STORE1,2023-07-02,2023-07-07,2023-07-07,1,1005.21
ORDER30,CUST1809,PROD146,STORE3,2023-10-16,2023-10-21,2023-10-22,10,12263.6
ORDER31,CUST1517,PROD116,STORE1,2024-05-28,2024-06-04,2024-06-05,7,2899.68
ORDER32,CUST6389,PROD119,STORE4,2024-01-25,2024-02-04,2024-02-03,6,719.16
ORDER33,CUST7656,PROD136,STORE9,2024-09-22,2024-10-01,2024-09-30,3,3817.17
ORDER34,CUST7530,PROD198,STORE7,2024-12-14,2024-12-17,2024-12-16,10,17857.0
ORDER35,CUST2238,PROD147,STORE6,2022-07-20,2022-07-23,2022-07-24,7,8137.43
ORDER36,CUST32,PROD199,STORE9,2023-01-31,2023-02-09,2023-02-10,4,4878.96
ORDER37,CUST5111,PROD194,STORE7,2022-05-23,2022-05-31,2022-06-01,3,4793.28
ORDER38,CUST821,PROD175,STORE4,2022-05-28,2022-06-05,2022-06-04,1,658.6
ORDER39,CUST925,PROD22,STORE10,2022-04-29,2022-05-09,2022-05-09,8,7857.52
ORDER40,CUST6502,PROD133,STORE8,2022-02-22,2022-02-24,2022-02-24,8,7768.0
ORDER41,CUST985,PROD99,STORE8,2022-12-28,2022-12-30,2022-12-31,7,607.25
ORDER42,CUST3876,PROD129,STORE4,2024-08-03,2024-08-06,2024-08-07,7,7060.41
ORDER43,CUST2130,PROD160,STORE8,2022-01-25,2022-02-01,2022-01-31,1,1085.29
ORDER44,CUST3181,PROD150,STORE9,2023-05-08,2023-05-15,2023-05-14,7,5006.82
ORDER45,CUST7488,PROD259,STORE7,2022-06-28,2022-06-30,2022-07-01,1,1645.61
ORDER46,CUST2943,PROD120,STORE7,2023-09-23,2023-10-01,2023-09-30,5,2699.1
ORDER47,CUST975,PROD26,STORE5,2024-06-13,2024-06-16,2024-06-17,4,3782.76
ORDER48,CUST3305,PROD221,STORE8,2024-07-22,2024-07-26,2024-07-26,3,3577.26
ORDER49,CUST4275,PROD154,STORE5,2022-12-02,2022-12-05,2022-12-06,10,6324.9
ORDER50,CUST403,PROD99,STORE3,2022-10-08,2022-10-17,2022-10-17,1,86.75
ORDER51,CUST1132,PROD244,STORE5,2023-07-09,2023-07-15,2023-07-14,2,2091.58
ORDER52,CUST5236,PROD110,STORE5,2022-03-28,2022-04-02,2022-04-02,1,789.76
ORDER53,CUST2671,PROD137,STORE10,2023-07-24,2023-07-28,2023-07-28,2,3205.12
ORDER54,CUST1866,PROD147,STORE5,2024-10-15,2024-10-21,2024-10-22,9,10462.41
ORDER55,CUST3621,PROD77,STORE3,2024-09-22,2024-09-25,2024-09-24,10,17826.4
ORDER56,CUST6593,PROD171,STORE4,2023-12-27,2023-12-31,2023-12-30,8,14553.44
ORDER57,CUST27,PROD132,STORE7,2023-10-27,2023-10-30,2023-10-30,3,5776.47
ORDER58,CUST7448,PROD130,STORE10,2022-07-16,2022-07-18,2022-07-18,7,2251.83
ORDER59,CUST7270,PROD180,STORE7,2022-10-11,2022-10-18,2022-10-19,9,17712.27
ORDER60,CUST5811,PROD258,STORE2,2022-01-05,2022-01-12,2022-01-11,6,9769.02
ORDER61,CUST6323,PROD80,STORE8,2022-09-30,2022-10-09,2022-10-10,9,3353.04
ORDER62,CUST6751,PROD65,STORE5,2024-04-19,2024-04-27,2024-04-27,4,4609.56
ORDER63,CUST6699,PROD99,STORE8,2024-08-06,2024-08-16,2024-08-15,8,694.0
ORDER64,CUST3273,PROD159,STORE3,2024-09-17,2024-09-21,2024-09-20,5,7522.3
ORDER65,CUST6548,PROD238,STORE9,2022-07-15,2022-07-25,2022-07-24,7,2159.78
ORDER66,CUST4003,PROD182,STORE8,2023-03-05,2023-03-09,2023-03-08,4,5365.64
