PaymentID,OrderID,PaymentDate,PaymentMethod,PaymentStatus,AmountPaid
PAYMENT1,ORDER1,2022-01-06,Debit Card,Completed,2876.16
PAYMENT2,ORDER2,2022-09-28,Net Banking,Completed,1597.04
PAYMENT3,ORDER3,2023-11-22,Net Banking,Failed,0.0
PAYMENT4,ORDER4,2024-01-14,Debit Card,Failed,0.0
PAYMENT5,ORDER5,2024-07-21,Credit Card,Completed,9515.59
PAYMENT6,ORDER6,2022-10-06,Net Banking,Completed,9386.08
PAYMENT7,ORDER7,2022-07-07,Net Banking,Completed,7244.72
PAYMENT8,ORDER8,2023-02-15,Net Banking,Failed,0.0
PAYMENT9,ORDER9,2024-03-22,PayPal,Completed,5602.88
PAYMENT10,ORDER10,2022-11-10,Credit Card,Completed,5570.43
PAYMENT11,ORDER11,2022-07-02,Net Banking,Failed,0.0
PAYMENT12,ORDER12,2022-01-12,PayPal,Failed,0.0
PAYMENT13,ORDER13,2024-09-19,Debit Card,Completed,7404.55
PAYMENT14,ORDER14,2022-08-01,PayPal,Completed,9412.11
PAYMENT15,ORDER15,2022-02-19,Credit Card,Pending,0.0
PAYMENT16,ORDER16,2023-05-23,PayPal,Failed,0.0
PAYMENT17,ORDER17,2023-06-01,Net Banking,Failed,0.0
PAYMENT18,ORDER18,2023-07-14,Net Banking,Completed,7150.44
PAYMENT19,ORDER19,2024-12-19,Net Banking,Completed,3159.04
PAYMENT20,ORDER20,2022-12-21,PayPal,Failed,0.0
PAYMENT21,ORDER21,2023-11-01,PayPal,Failed,0.0
PAYMENT22,ORDER22,2024-11-09,Credit Card,Completed,5211.72
PAYMENT23,ORDER23,2024-09-20,PayPal,Completed,5552.65
PAYMENT24,ORDER24,2024-11-22,PayPal,Completed,7823.79
PAYMENT25,ORDER25,2023-11-23,Net Banking,Pending,0.0
PAYMENT26,ORDER26,2023-07-23,Debit Card,Failed,0.0
PAYMENT27,ORDER27,2023-05-31,Credit Card,Pending,0.0
PAYMENT28,ORDER28,2024-06-16,Credit Card,Pending,0.0
PAYMENT29,ORDER29,2023-07-05,Net Banking,Completed,1005.21
PAYMENT30,ORDER30,2023-10-19,Net Banking,Failed,0.0
