ReturnID,OrderID,ProductID,ReturnDate,Reason,Status,RefundAmount
RETURN1,ORDER13282,PROD213,2024-11-20,Changed Mind,Accepted,1268.91
RETURN2,ORDER9070,PROD111,2024-05-30,Defective,Rejected,0.0
RETURN3,ORDER4256,PROD112,2023-12-20,Defective,Rejected,0.0
RETURN4,ORDER2788,PROD180,2022-06-09,Wrong Item,Rejected,0.0
RETURN5,ORDER5050,PROD83,2022-06-05,Not as Described,Accepted,3501.8
RETURN6,ORDER16223,PROD157,2023-02-20,Not as Described,Rejected,0.0
RETURN7,ORDER6997,PROD227,2022-06-02,Wrong Item,Accepted,978.25
RETURN8,ORDER16992,PROD110,2023-01-22,Defective,Rejected,0.0
RETURN9,ORDER14617,PROD172,2024-07-15,Not as Described,Accepted,2073.02
RETURN10,ORDER19630,PROD254,2022-12-27,Not as Described,Rejected,0.0
RETURN11,ORDER10300,PROD203,2023-12-23,Changed Mind,Accepted,2017.15
RETURN12,ORDER10998,PROD222,2023-01-14,Defective,Accepted,5103.6
RETURN13,ORDER18775,PROD155,2023-08-06,Wrong Item,Accepted,8449.35
RETURN14,ORDER150,PROD164,2023-11-08,Defective,Accepted,4998.24
RETURN15,ORDER19059,PROD160,2023-09-12,Changed Mind,Accepted,7597.03
RETURN16,ORDER13279,PROD256,2022-05-21,Not as Described,Accepted,4235.2
RETURN17,ORDER15233,PROD53,2024-04-03,Defective,Rejected,0.0
RETURN18,ORDER8444,PROD59,2023-12-25,Wrong Item,Rejected,0.0
RETURN19,ORDER6436,PROD116,2023-03-15,Wrong Item,Accepted,4142.4
RETURN20,ORDER16844,PROD124,2022-07-25,Defective,Rejected,0.0
RETURN21,ORDER19733,PROD160,2024-07-30,Defective,Rejected,0.0
RETURN22,ORDER401,PROD66,2023-11-28,Defective,Accepted,3641.38
RETURN23,ORDER17393,PROD233,2023-02-04,Changed Mind,Rejected,0.0
RETURN24,ORDER17731,PROD262,2022-08-26,Defective,Rejected,0.0
RETURN25,ORDER2078,PROD228,2022-03-13,Not as Described,Accepted,12270.09
RETURN26,ORDER16064,PROD27,2022-05-19,Wrong Item,Accepted,5030.58
RETURN27,ORDER1738,PROD247,2025-01-03,Not as Described,Accepted,1199.49
RETURN28,ORDER14779,PROD208,2022-10-11,Wrong Item,Accepted,3426.8
RETURN29,ORDER949,PROD94,2024-01-12,Wrong Item,Accepted,1540.07
RETURN30,ORDER15372,PROD75,2024-06-05,Defective,Rejected,0.0
RETURN31,ORDER10141,PROD123,2024-09-21,Defective,Rejected,0.0
RETURN32,ORDER18244,PROD57,2023-09-19,Wrong Item,Rejected,0.0
RETURN33,ORDER17248,PROD260,2022-09-29,Wrong Item,Rejected,0.0
RETURN34,ORDER17493,PROD11,2024-11-09,Defective,Rejected,0.0
RETURN35,ORDER8669,PROD263,2022-05-29,Defective,Rejected,0.0
RETURN36,ORDER17668,PROD227,2023-06-29,Defective,Rejected,0.0
RETURN37,ORDER12926,PROD125,2022-04-04,Not as Described,Accepted,2999.9
RETURN38,ORDER11843,PROD231,2022-06-14,Not as Described,Accepted,9414.4
RETURN39,ORDER9829,PROD252,2023-10-02,Wrong Item,Accepted,5852.77
RETURN40,ORDER13511,PROD16,2023-07-28,Not as Described,Accepted,2646.78
RETURN41,ORDER18893,PROD248,2024-05-12,Not as Described,Accepted,6376.8
RETURN42,ORDER14489,PROD199,2024-04-06,Defective,Accepted,12197.4
RETURN43,ORDER12218,PROD147,2022-09-03,Changed Mind,Accepted,6974.94
RETURN44,ORDER13519,PROD218,2023-06-09,Defective,Rejected,0.0
RETURN45,ORDER4706,PROD228,2022-03-04,Wrong Item,Rejected,0.0
RETURN46,ORDER6519,PROD147,2023-08-16,Not as Described,Rejected,0.0
RETURN47,ORDER4633,PROD81,2023-01-29,Changed Mind,Accepted,1222.72
RETURN48,ORDER19882,PROD132,2024-11-25,Not as Described,Accepted,15403.92
RETURN49,ORDER9609,PROD130,2022-04-01,Defective,Rejected,0.0
RETURN50,ORDER13330,PROD47,2022-03-27,Wrong Item,Accepted,5056.5
RETURN51,ORDER2401,PROD216,2022-03-31,Not as Described,Accepted,1869.78
RETURN52,ORDER7391,PROD168,2022-09-24,Wrong Item,Rejected,0.0
RETURN53,ORDER1842,PROD70,2023-11-10,Not as Described,Accepted,309.64
RETURN54,ORDER6079,PROD241,2023-04-10,Changed Mind,Accepted,9472.05
RETURN55,ORDER6706,PROD45,2023-07-12,Wrong Item,Accepted,528.57
RETURN56,ORDER14378,PROD135,2024-08-31,Defective,Rejected,0.0
RETURN57,ORDER14195,PROD268,2022-07-06,Not as Described,Accepted,15755.31
RETURN58,ORDER5073,PROD219,2022-06-29,Not as Described,Rejected,0.0
RETURN59,ORDER5549,PROD173,2023-04-24,Defective,Rejected,0.0
RETURN60,ORDER19089,PROD117,2023-06-20,Changed Mind,Rejected,0.0
RETURN61,ORDER17837,PROD130,2022-05-21,Defective,Rejected,0.0
RETURN62,ORDER17886,PROD24,2024-02-24,Defective,Rejected,0.0
RETURN63,ORDER1556,PROD137,2024-12-11,Wrong Item,Accepted,1602.56
RETURN64,ORDER11899,PROD232,2022-12-14,Defective,Rejected,0.0
RETURN65,ORDER11116,PROD91,2023-09-18,Not as Described,Accepted,5575.77
RETURN66,ORDER1718,PROD181,2023-08-20,Wrong Item,Rejected,0.0
RETURN67,ORDER16263,PROD125,2024-12-08,Wrong Item,Rejected,0.0
RETURN68,ORDER6325,PROD219,2022-01-08,Not as Described,Accepted,1548.14
RETURN69,ORDER4523,PROD94,2023-11-05,Wrong Item,Accepted,1540.07
RETURN70,ORDER12624,PROD76,2023-05-21,Wrong Item,Rejected,0.0
RETURN71,ORDER13602,PROD134,2024-03-29,Changed Mind,Accepted,6531.75
RETURN72,ORDER9130,PROD67,2024-07-30,Defective,Accepted,3508.32
RETURN73,ORDER10853,PROD117,2022-05-27,Wrong Item,Rejected,0.0
RETURN74,ORDER18600,PROD86,2022-11-07,Changed Mind,Rejected,0.0
RETURN75,ORDER13936,PROD38,2023-06-24,Defective,Accepted,3905.67
RETURN76,ORDER799,PROD25,2023-06-05,Changed Mind,Accepted,3227.16
RETURN77,ORDER565,PROD220,2024-08-27,Wrong Item,Rejected,0.0
RETURN78,ORDER15474,PROD187,2024-07-21,Wrong Item,Accepted,18568.1
RETURN79,ORDER5337,PROD246,2023-07-09,Not as Described,Accepted,15756.0
RETURN80,ORDER8577,PROD176,2024-03-02,Defective,Accepted,1677.31
RETURN81,ORDER6975,PROD263,2024-12-26,Wrong Item,Rejected,0.0
RETURN82,ORDER4329,PROD51,2024-04-05,Defective,Rejected,0.0
RETURN83,ORDER15653,PROD62,2023-01-21,Defective,Rejected,0.0
RETURN84,ORDER11292,PROD222,2022-04-09,Not as Described,Rejected,0.0
RETURN85,ORDER19253,PROD171,2023-04-01,Not as Described,Rejected,0.0
RETURN86,ORDER4376,PROD106,2024-08-28,Defective,Accepted,2575.36
RETURN87,ORDER10008,PROD244,2023-02-02,Changed Mind,Accepted,3137.37
RETURN88,ORDER7206,PROD123,2022-10-30,Wrong Item,Rejected,0.0
RETURN89,ORDER6243,PROD86,2023-02-21,Changed Mind,Rejected,0.0
RETURN90,ORDER4334,PROD54,2022-03-18,Defective,Accepted,3674.04
RETURN91,ORDER12162,PROD160,2022-02-05,Defective,Rejected,0.0
RETURN92,ORDER4058,PROD61,2023-04-01,Wrong Item,Rejected,0.0
RETURN93,ORDER16451,PROD179,2022-10-25,Changed Mind,Rejected,0.0
RETURN94,ORDER13919,PROD10,2024-04-03,Wrong Item,Rejected,0.0
RETURN95,ORDER2385,PROD154,2022-02-17,Wrong Item,Rejected,0.0
RETURN96,ORDER14603,PROD4,2024-04-26,Defective,Accepted,8950.2
RETURN97,ORDER10309,PROD165,2022-07-09,Changed Mind,Accepted,668.67
RETURN98,ORDER19093,PROD22,2022-06-08,Defective,Rejected,0.0
RETURN99,ORDER6065,PROD99,2022-01-28,Changed Mind,Rejected,0.0
RETURN100,ORDER4330,PROD179,2023-05-21,Changed Mind,Rejected,0.0
RETURN101,ORDER3090,PROD268,2024-05-16,Changed Mind,Accepted,3501.18
RETURN102,ORDER7564,PROD241,2023-06-16,Defective,Rejected,0.0
RETURN103,ORDER13601,PROD67,2022-07-25,Wrong Item,Rejected,0.0
RETURN104,ORDER7816,PROD166,2022-05-08,Not as Described,Rejected,0.0
RETURN105,ORDER10360,PROD44,2024-07-22,Wrong Item,Rejected,0.0
RETURN106,ORDER90,PROD1,2022-10-04,Wrong Item,Rejected,0.0
RETURN107,ORDER14752,PROD5,2024-02-15,Wrong Item,Rejected,0.0
RETURN108,ORDER1304,PROD186,2024-04-03,Defective,Accepted,6347.2
RETURN109,ORDER7121,PROD39,2022-02-16,Not as Described,Accepted,2355.64
RETURN110,ORDER14490,PROD230,2024-10-06,Not as Described,Accepted,10916.48
RETURN111,ORDER14532,PROD168,2023-07-07,Changed Mind,Accepted,4859.25
RETURN112,ORDER4201,PROD147,2022-08-24,Wrong Item,Accepted,2324.98
RETURN113,ORDER3414,PROD96,2023-02-07,Wrong Item,Accepted,11622.69
RETURN114,ORDER2500,PROD125,2023-07-14,Wrong Item,Rejected,0.0
RETURN115,ORDER13521,PROD133,2024-08-25,Defective,Accepted,3884.0
RETURN116,ORDER4913,PROD95,2024-04-17,Not as Described,Rejected,0.0
RETURN117,ORDER10207,PROD171,2022-02-22,Defective,Accepted,9095.9
RETURN118,ORDER3574,PROD183,2023-01-11,Wrong Item,Rejected,0.0
RETURN119,ORDER19265,PROD242,2023-11-18,Not as Described,Accepted,2411.8
RETURN120,ORDER7379,PROD122,2023-05-09,Wrong Item,Accepted,1242.22
RETURN121,ORDER231,PROD148,2024-08-21,Wrong Item,Accepted,11993.04
RETURN122,ORDER8898,PROD47,2024-08-09,Not as Described,Accepted,2022.6
RETURN123,ORDER10883,PROD20,2023-02-01,Changed Mind,Rejected,0.0
RETURN124,ORDER5844,PROD225,2024-06-21,Not as Described,Rejected,0.0
RETURN125,ORDER15546,PROD94,2024-08-20,Wrong Item,Accepted,12320.56
RETURN126,ORDER8969,PROD131,2023-01-01,Wrong Item,Rejected,0.0
RETURN127,ORDER4188,PROD34,2022-07-26,Defective,Accepted,881.8
RETURN128,ORDER7797,PROD237,2024-01-25,Defective,Accepted,1675.32
RETURN129,ORDER9725,PROD57,2023-08-09,Changed Mind,Accepted,1528.32
RETURN130,ORDER5412,PROD259,2024-11-26,Changed Mind,Accepted,6582.44
RETURN131,ORDER4766,PROD45,2023-06-18,Defective,Accepted,604.08
RETURN132,ORDER16508,PROD63,2022-04-11,Not as Described,Rejected,0.0
RETURN133,ORDER10258,PROD156,2022-02-19,Not as Described,Accepted,2769.78
RETURN134,ORDER9905,PROD189,2022-12-13,Wrong Item,Rejected,0.0
RETURN135,ORDER10328,PROD202,2023-09-10,Changed Mind,Rejected,0.0
RETURN136,ORDER6968,PROD138,2024-01-25,Not as Described,Rejected,0.0
RETURN137,ORDER5067,PROD108,2024-10-16,Changed Mind,Rejected,0.0
RETURN138,ORDER11562,PROD157,2024-09-21,Defective,Accepted,13046.16
RETURN139,ORDER5087,PROD114,2022-03-04,Wrong Item,Rejected,0.0
RETURN140,ORDER3744,PROD253,2023-03-21,Changed Mind,Accepted,7403.6
RETURN141,ORDER8316,PROD112,2022-01-17,Wrong Item,Accepted,13265.12
RETURN142,ORDER18761,PROD133,2022-11-17,Changed Mind,Rejected,0.0
RETURN143,ORDER13745,PROD78,2022-07-23,Defective,Accepted,18373.0
RETURN144,ORDER15999,PROD177,2023-08-20,Wrong Item,Rejected,0.0
RETURN145,ORDER19923,PROD147,2023-03-15,Changed Mind,Rejected,0.0
RETURN146,ORDER15700,PROD157,2022-04-04,Not as Described,Rejected,0.0
RETURN147,ORDER13158,PROD68,2023-01-27,Not as Described,Accepted,9938.75
RETURN148,ORDER303,PROD169,2023-09-03,Not as Described,Rejected,0.0
RETURN149,ORDER18408,PROD157,2024-03-23,Changed Mind,Accepted,9784.62
RETURN150,ORDER2606,PROD217,2023-11-06,Wrong Item,Rejected,0.0
RETURN151,ORDER2223,PROD3,2022-08-18,Defective,Accepted,1238.0
RETURN152,ORDER16987,PROD78,2022-08-07,Not as Described,Accepted,18373.0
RETURN153,ORDER9030,PROD31,2024-05-16,Defective,Accepted,2750.82
RETURN154,ORDER1045,PROD201,2023-10-25,Defective,Accepted,3857.85
RETURN155,ORDER3510,PROD137,2023-02-25,Wrong Item,Rejected,0.0
RETURN156,ORDER8490,PROD171,2024-01-14,Changed Mind,Rejected,0.0
RETURN157,ORDER11667,PROD41,2022-07-15,Changed Mind,Accepted,8036.1
RETURN158,ORDER4196,PROD191,2023-09-10,Changed Mind,Rejected,0.0
RETURN159,ORDER2793,PROD141,2023-08-19,Wrong Item,Accepted,5837.4
RETURN160,ORDER15498,PROD119,2024-07-23,Defective,Accepted,719.16
RETURN161,ORDER2514,PROD255,2024-05-19,Wrong Item,Rejected,0.0
RETURN162,ORDER12833,PROD176,2023-08-05,Not as Described,Rejected,0.0
RETURN163,ORDER3317,PROD75,2022-06-01,Not as Described,Rejected,0.0
RETURN164,ORDER6189,PROD83,2022-02-22,Not as Described,Rejected,0.0
RETURN165,ORDER1866,PROD239,2022-01-30,Defective,Accepted,349.86
RETURN166,ORDER15894,PROD40,2022-04-04,Not as Described,Rejected,0.0
RETURN167,ORDER9044,PROD267,2024-03-26,Defective,Accepted,6542.0
RETURN168,ORDER19766,PROD42,2022-03-11,Wrong Item,Accepted,5369.12
