ShippingID,OrderID,Carrier,ShippingCost,ShippingStatus,TrackingNumber
SHIP1,ORDER1,India Post,391.16,In Transit,19e3ef58-f2c7-47c9-ae58-83b75681c08c
SHIP2,ORDER2,India Post,120.76,In Transit,c90d318a-3004-4b2c-8cff-8b18fae9b44e
SHIP3,ORDER3,BlueDart,310.16,In Transit,2a9574e1-c7d7-4129-acac-e73a7e83caf2
SHIP4,ORDER4,India Post,278.93,Pending,80d0a0e6-e7db-4a9c-abe1-eaf713a0c3d7
SHIP5,ORDER5,DHL,418.93,Pending,4c033a4d-a711-447f-859e-df943993f1b7
SHIP6,ORDER6,DHL,331.96,In Transit,c01aa234-47e1-4960-87df-5f44990ac414
SHIP7,ORDER7,BlueDart,435.08,Delivered,779be04b-d25d-4e37-80de-a9041b2250d9
SHIP8,ORDER8,BlueDart,64.75,Delivered,87d66d0a-8da0-41de-a84d-60ba708c09db
SHIP9,ORDER9,India Post,61.42,Pending,a1b61d0b-40bc-4eff-979a-ed6bc7faede8
SHIP10,ORDER10,DHL,137.66,Delivered,782f0a96-ff05-4bd6-9343-1b1c5132c7de
SHIP11,ORDER11,BlueDart,498.54,Pending,b6c8fda8-3eb5-4c8c-8e76-73a1d627e1e9
SHIP12,ORDER12,India Post,477.37,In Transit,0ef5cb9a-d9e6-49a9-b3f4-7860a0549612
SHIP13,ORDER13,India Post,84.25,Delivered,5e361d51-eac1-4882-93bd-5d3de7e650af
SHIP14,ORDER14,FedEx,179.11,Delivered,6a3235cc-65fc-4758-b57e-3c7d6b1dc40b
SHIP15,ORDER15,BlueDart,381.29,Pending,5aa2d041-fd71-4021-a283-e0a47f0126c4
SHIP16,ORDER16,BlueDart,328.11,Pending,9fc38be4-a2f8-45ab-839e-69fd69c1262c
SHIP17,ORDER17,FedEx,209.88,Delivered,704bd419-2db5-4eaf-a145-0468a940da73
SHIP18,ORDER18,India Post,298.07,In Transit,c45dd8f5-434d-4e2f-a626-651194759fea
SHIP19,ORDER19,India Post,334.17,Pending,ee4cbd86-5562-48c9-979b-e48d2be41192
SHIP20,ORDER20,BlueDart,473.24,Delivered,25c9a204-1921-4808-b83a-984b4e314ff7
SHIP21,ORDER21,BlueDart,442.39,In Transit,bcb67d7e-8101-4d35-bb89-d0fef4361037
SHIP22,ORDER22,DHL,306.74,In Transit,c4c55042-ee17-46a4-aec0-b032c6d1e9b6
SHIP23,ORDER23,BlueDart,256.27,In Transit,9bf6a918-ffcc-4bb2-9243-9db64f77f484
SHIP24,ORDER24,BlueDart,243.83,Pending,7c85ab7f-1b51-443f-ba13-ef99c537215d
SHIP25,ORDER25,DHL,463.41,Pending,0c43a73e-bb92-4fca-9d6a-9b0050eb6413
SHIP26,ORDER26,India Post,51.13,Pending,6a510770-5288-4d3a-a254-12b594ff576e
SHIP27,ORDER27,India Post,119.79,Pending,5b8cb378-37b0-4334-967f-81305f9d3e7e
SHIP28,ORDER28,BlueDart,189.74,In Transit,f0fd3461-123b-4879-b30b-a9273292e59c
SHIP29,ORDER29,FedEx,248.03,In Transit,2797e153-064d-4dcb-96c4-c560af09400c
SHIP30,ORDER30,India Post,291.6,Delivered,e34086f1-253e-436a-8b2b-49ef989dd7cd
SHIP31,ORDER31,DHL,424.27,Delivered,64022e99-8d4c-495f-82d5-b492223f16be
SHIP32,ORDER32,India Post,208.23,In Transit,d2555dd7-2745-475f-b21f-1da89a2945f6
SHIP33,ORDER33,FedEx,376.98,Pending,55fefb40-1abd-473a-8944-a3817515ab83
SHIP34,ORDER34,India Post,255.34,In Transit,67ff66cb-3097-4402-98e0-ba14a3196d50
SHIP35,ORDER35,FedEx,396.62,Delivered,3eac5b9a-944d-4e5b-bcef-1d1be9bfbc2c
SHIP36,ORDER36,India Post,278.65,Pending,a0723ed0-a8b0-4bda-98b4-5edc3f5dc124
SHIP37,ORDER37,BlueDart,328.01,In Transit,5dd6306a-3042-4cd1-bb91-a9c1d93a2b84
SHIP38,ORDER38,India Post,405.93,In Transit,f347adfe-67b7-45d9-b975-824e19388c61
SHIP39,ORDER39,India Post,324.76,Delivered,be687fcf-088f-49df-9c64-9c105e1b2294
SHIP40,ORDER40,DHL,281.36,In Transit,c12bcdd4-efa4-4420-aad7-64c76722c3df
SHIP41,ORDER41,FedEx,239.09,In Transit,ba95ccf7-5c2f-48aa-9bc1-5beaa03e4fad
SHIP42,ORDER42,DHL,64.23,Delivered,3ca05152-75c3-4370-b0a5-fe852060e026
SHIP43,ORDER43,DHL,301.74,Pending,b2677c19-3a78-4b8f-9671-001b21e8888e
SHIP44,ORDER44,FedEx,288.44,Pending,70b16ff1-f70b-47fd-ba84-0b837efe62cb
SHIP45,ORDER45,India Post,153.77,Delivered,f27b73d0-7eeb-4109-8d0f-7982614d3560
SHIP46,ORDER46,DHL,213.04,Pending,ae540567-a74e-48ba-ab9d-2629dadb13da
SHIP47,ORDER47,DHL,412.72,Delivered,ceff5ade-424f-4f83-9b19-69c4c178159b
SHIP48,ORDER48,BlueDart,51.74,Delivered,3c66e6fe-c920-4673-96ca-1496adba0f3d
SHIP49,ORDER49,DHL,259.39,Pending,3b1c3780-4880-43f7-9b5f-5bb9ae3f8ac2
SHIP50,ORDER50,FedEx,471.83,Pending,cc99d217-8a3f-44fb-b767-6b30bc6ce56a
SHIP51,ORDER51,DHL,151.47,In Transit,d060e84f-a91d-4031-8ce9-94114eaada35
SHIP52,ORDER52,BlueDart,327.54,In Transit,090e1742-d552-4255-9e59-5a10dd4ccc43
SHIP53,ORDER53,DHL,322.73,Pending,40322395-337e-4e86-898d-0297a2b6fc48
SHIP54,ORDER54,India Post,170.79,In Transit,ad811145-1969-44bc-b20b-f53c14095a8c
SHIP55,ORDER55,India Post,196.17,In Transit,54e3d602-54e0-4894-ae06-f0ba25a1dc7c
SHIP56,ORDER56,BlueDart,157.94,In Transit,f333e68a-6aba-45d5-b006-0ab7a0a38006
SHIP57,ORDER57,FedEx,493.32,Delivered,ca416130-9675-4edb-a71f-19cb3ff4edfa
