SupplierID,SupplierName,ContactNumber,Email,City,State
SUPPLIER1,"Arora, D’Alia and Date",03247862522,fom@example.com,Ozhukarai,Tamil Nadu
SUPPLIER2,Sankaran-Basak,+915153179504,padmanabhananjali@example.org,Munger,Tripura
SUPPLIER3,"Sura, Kari and Sekhon",6922178685,dominicsom@example.net,Tadepalligudem,Uttarakhand
SUPPLIER4,Kalita Group,02586348051,lankaradha@example.com,Bardhaman,Tripura
SUPPLIER5,Divan-Kakar,09788250691,daniel05@example.org,Aurangabad,Madhya Pradesh
SUPPLIER6,Devan-Mishra,4496192122,yugvora@example.com,Bikaner,Karnataka
SUPPLIER7,Khatri LLC,+911723313013,kashyaparadhana@example.com,Jabalpur,Uttar Pradesh
SUPPLIER8,"Gara, Ahuja and Solanki",0447866207,nicholas91@example.net,Rampur,Andhra Pradesh
SUPPLIER9,"Mutti, Parmar and Pillay",04077684878,ramaswamymohini@example.org,Agartala,Kerala
SUPPLIER10,Sant-Sachar,+911899974105,fchand@example.net,Nagercoil,Arunachal Pradesh
SUPPLIER11,Hegde and Sons,+916214481923,bansalaadhya@example.net,Davanagere,Tamil Nadu
SUPPLIER12,"Vohra, Nadig and Subramaniam",09349032374,faqidhegde@example.org,Anand,Nagaland
SUPPLIER13,Ben-Pathak,03050292315,yahvi23@example.com,Vijayawada,Andhra Pradesh
SUPPLIER14,"Sawhney, Brahmbhatt and Bal",9285165553,mahajanbakhshi@example.com,Alappuzha,West Bengal
SUPPLIER15,Soni Ltd,02255251797,cheemaparth@example.net,Kumbakonam,Sikkim
SUPPLIER16,Chatterjee Inc,07517799006,qbhardwaj@example.net,Vellore,Madhya Pradesh
SUPPLIER17,Malhotra-Kalita,5601917367,madhavi10@example.org,Dehri,Karnataka
SUPPLIER18,Sachar-Rout,0970130995,varshapalan@example.com,South Dumdum,Uttarakhand
SUPPLIER19,Nadig Inc,00858226699,snehamody@example.org,Chapra,Tripura
SUPPLIER20,Sha LLC,+910777856351,chhabrarachana@example.net,Rewa,Odisha
SUPPLIER21,Tiwari-Sharaf,04732723858,arunimaparsa@example.com,Tenali,Gujarat
SUPPLIER22,Raman-Warrior,09956754280,bathzaitra@example.org,Kirari Suleman Nagar,Punjab
SUPPLIER23,Uppal-Dash,+915483969464,ushan@example.net,Latur,Himachal Pradesh
SUPPLIER24,Sachar-Pillai,08576530391,zehaanmisra@example.net,Farrukhabad,Arunachal Pradesh
